tipe_transaksi                                                                                                                                                                                                                                                 ,id_akun             ,akun_nama                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,arah  ,total_debit                             ,total_kredit                            
BATAL PEMBAYARAN                                                                                                                                                                                                                                               ,110.8               ,Kas Bank                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,KREDIT,                                    .000,                            27686680.000
BATAL PEMBAYARAN                                                                                                                                                                                                                                               ,125.2               ,Piutang Usaha PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,DEBIT ,                           252435460.000,                                    .000
BATAL PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                              ,110.2               ,Kas Tunai                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,DEBIT ,                         19440978731.616,                                    .000
BATAL PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                              ,110.8               ,Kas Bank                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,DEBIT ,                           498822112.991,                                    .000
BATAL PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                              ,-1107               ,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,DEBIT ,                           185412231.818,                                    .000
BATAL PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                              ,152.1               ,PPN Masukan POS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,KREDIT,                                    .000,                           868584291.930
BATAL PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                              ,153                 ,Deposit Ke Supplier                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,DEBIT ,                             1007318.179,                                    .000
BATAL PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                              ,153.1               ,Deposit Ke Supplier PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,DEBIT ,                           192982014.884,                                    .000
BATAL PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                              ,250.4               ,Hutang Usaha PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,KREDIT,                                    .000,                         19450618117.558
BATAL PEMINDAHAN BARANG                                                                                                                                                                                                                                        ,112.2               ,Persediaan Barang PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,MIXED ,                         78694858272.270,                            80850663.000
BATAL PEMINDAHAN BARANG                                                                                                                                                                                                                                        ,501.2               ,HPP PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,MIXED ,                            80850663.000,                         78694858272.270
BATAL PENERIMAAN PEMINDAHAN                                                                                                                                                                                                                                    ,112.2               ,Persediaan Barang PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,KREDIT,                                    .000,                           277334946.620
BATAL PENERIMAAN PEMINDAHAN                                                                                                                                                                                                                                    ,501.2               ,HPP PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,DEBIT ,                           277334946.620,                                    .000
BATAL PENERIMAAN PENGADAAN                                                                                                                                                                                                                                     ,112.2               ,Persediaan Barang PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,MIXED ,                            21965904.000,                         66005772172.880
BATAL PENERIMAAN PENGADAAN                                                                                                                                                                                                                                     ,250.4               ,Hutang Usaha PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,MIXED ,                         66005772172.880,                            21965904.000
BATAL PENJUALAN GROSIR                                                                                                                                                                                                                                         ,110.2               ,Kas Tunai                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,KREDIT,                                    .000,                           148113307.000
BATAL PENJUALAN GROSIR                                                                                                                                                                                                                                         ,112.2               ,Persediaan Barang PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,MIXED ,                          9469383775.200,                             4168754.360
BATAL PENJUALAN GROSIR                                                                                                                                                                                                                                         ,125.2               ,Piutang Usaha PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,ZERO  ,                            -2998503.000,                          9868138496.938
BATAL PENJUALAN GROSIR                                                                                                                                                                                                                                         ,280.1               ,PPN Keluaran PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,DEBIT ,                            38691050.411,                                    .000
BATAL PENJUALAN GROSIR                                                                                                                                                                                                                                         ,401.2               ,Penjualan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,MIXED ,                         10079074852.477,                             4498433.000
